id,title,content,news_datetime,source,create_time,relevance,direction,impact,content_hash
4281,安全部门消息人士： 空袭击中摩苏尔东部伊拉克什叶派人民动员力量的据点，现场可见浓烟升起。,安全部门消息人士： 空袭击中摩苏尔东部伊拉克什叶派人民动员力量的据点，现场可见浓烟升起。,2026-04-01 01:14:26,新浪财经,2026-04-01 01:15:40,True,1,1,63878c153f9373ac03f2e24ad4e3bdae
4280,美联储Schmid：无法假设通胀汇市暂时性的。,美联储Schmid：无法假设通胀汇市暂时性的。,2026-04-01 01:10:36,华尔街见闻,2026-04-01 01:11:59,True,-1,2,feae66e3b63a71fc8bcea31df284cdbc
4279,伊朗科技部：关闭学生宿舍　将转线上教学,"据伊朗伊斯兰共和国通讯社3月31日报道，伊朗科学、研究和技术部发布公告，全国各地学生宿舍自31日起关闭，直至另行通知，4月5日起所有课程将转为线上教学。

伊朗伊斯法罕理工大学等高校和科研机构近日接连遭到美国和以色列空袭。伊朗伊斯兰革命卫队警告，作为回应，将把以色列境内高校及西亚地区的美国高校列为“合法打击目标”。黎巴嫩和约旦的两所美国大学29日宣布，临时转为线上模式。（新华社）",2026-04-01 00:45:09,华尔街见闻,2026-04-01 00:46:38,True,1,2,b84e5cd6d3e7349f55e30b7579d1f123
4278,现货黄金突破4630美元/盎司，日内涨2.70%。,现货黄金突破4630美元/盎司，日内涨2.70%。,2026-04-01 00:40:05,新浪财经,2026-04-01 00:41:28,True,1,1,cd1485a7d800f18555c06d7618ba4f9a
4277,瑞银CEO： 在当前环境下，我认为除了美国市场与美元之外，没有太多其他选择。,瑞银CEO： 在当前环境下，我认为除了美国市场与美元之外，没有太多其他选择。,2026-04-01 00:34:34,新浪财经,2026-04-01 00:36:12,True,-1,0,4adbaa2adeaca37519823f8cd28b6b3e
4272,欧洲柴油期货有望在3月份累涨81%，单月涨幅创纪录，因中东战争扰乱了供应。,欧洲柴油期货有望在3月份累涨81%，单月涨幅创纪录，因中东战争扰乱了供应。,2026-04-01 00:23:09,华尔街见闻,2026-04-01 00:24:03,True,1,1,0981958f6cc018ff8c4bc22001cc8380
4274,受中东战争扰乱供应影响，欧洲柴油基准期货3 月有望实现 81%的月度涨幅，创下历史纪录,受中东战争扰乱供应影响，欧洲柴油基准期货3 月有望实现 81%的月度涨幅，创下历史纪录,2026-04-01 00:22:47,新浪财经,2026-04-01 00:31:15,True,1,1,50699f4743540d2ed97f4d941c0f99ed
4273,以军称过去一天打击伊朗20处武器生产及研发设施,3月31日，以色列国防军发表声明称，过去一天，以色列空军对伊朗境内20处武器生产设施及研发场所实施打击。以军称，在当天早间的一轮空袭行动中，以空军战机向多个目标投下约80枚炸弹，其中包括用于生产弹道导弹发动机“关键部件”的设施、进行导弹发动机试验的场所，以及一处防空系统生产基地。（央视）,2026-04-01 00:22:36,华尔街见闻,2026-04-01 00:24:15,True,1,1,a0f36dee82cad800c72efcfc2afe028f
4275,【以军称过去一天打击伊朗20处武器生产及研发设施】新浪财经4月1日讯，当地时间3月31日，以色列国防军发表声明称，过去一天，以色列空军对伊朗境内20处武器生产设...,【以军称过去一天打击伊朗20处武器生产及研发设施】新浪财经4月1日讯，当地时间3月31日，以色列国防军发表声明称，过去一天，以色列空军对伊朗境内20处武器生产设施及研发场所实施打击。以军称，在当天早间的一轮空袭行动中，以空军战机向多个目标投下约80枚炸弹，其中包括用于生产弹道导弹发动机“关键部件”的设施、进行导弹发动机试验的场所，以及一处防空系统生产基地。以军此前表示，计划在次日完成对伊朗军事生产体系中所有“关键”资产的打击。（央视新闻）,2026-04-01 00:21:42,新浪财经,2026-04-01 00:31:30,True,1,3,f8b88361503cf142e87ca3fc507c8398
4276,【德国两年期国债收益率3月份涨超61个基点】新浪财经4月1日讯，周二（3月31日）欧市尾盘，德国10年期国债收益率跌3.1个基点，报3.004%，3月份累计上涨...,【德国两年期国债收益率3月份涨超61个基点】新浪财经4月1日讯，周二（3月31日）欧市尾盘，德国10年期国债收益率跌3.1个基点，报3.004%，3月份累计上涨36.1个基点，整体持续走高，3月27日欧市早盘曾达到3.129%，一季度累计上涨14.9个基点，2月28日欧股收盘时跌至2.643个基点，随后持续反弹。两年期德债收益率跌0.4个基点，报2.616%，3月份累涨61.2个基点，一季度累涨49.5个基点。30年期德债收益率跌4.6个基点，报3.457%，3月份累涨14.3个基点。2/10年期德债收益率利差跌2.536个基点，报+38.489个基点，3月份累跌25.204个基点，一季度累跌34.658个基点。,2026-04-01 00:20:47,新浪财经,2026-04-01 00:32:25,True,1,1,8de9f95a011d1e1c200e0752a9324503
4271,德国两年期国债收益率3月份涨超61个基点,"周二（3月31日）欧市尾盘，德国10年期国债收益率跌3.1个基点，报3.004%，3月份累计上涨36.1个基点，整体持续走高，3月27日欧市早盘曾达到3.129%，一季度累计上涨14.9个基点，2月28日欧股收盘时跌至2.643个基点，随后持续反弹。

两年期德债收益率跌0.4个基点，报2.616%，3月份累涨61.2个基点，一季度累涨49.5个基点。

30年期德债收益率跌4.6个基点，报3.457%，3月份累涨14.3个基点。

2/10年期德债收益率利差跌2.536个基点，报+38.489个基点，3月份累跌25.204个基点，一季度累跌34.658个基点。",2026-04-01 00:20:44,华尔街见闻,2026-04-01 00:23:24,True,0,0,db9f2f81feec167e84b3f80599f3e087
4270,【美防长：特朗普将在对伊军事行动结束后就北约未来作出决定】新浪财经3月31日讯，美国国防部长赫格塞思3月31日在新闻发布会上说，考虑到部分盟友拒绝提供帮助，美国...,【美防长：特朗普将在对伊军事行动结束后就北约未来作出决定】新浪财经3月31日讯，美国国防部长赫格塞思3月31日在新闻发布会上说，考虑到部分盟友拒绝提供帮助，美国总统特朗普将在对伊朗军事行动结束后就北约的未来作出决定。当天早些时候，特朗普在社交媒体上连发两条帖文，对英国和法国在对伊朗军事行动中的表现表示不满。（央视新闻）,2026-03-31 22:39:59,新浪财经,2026-03-31 22:40:43,True,1,1,23cb1d24e71c23622e313f6c763d3498
4267,伊朗官方媒体报道：伊朗革命卫队称，将从4月1日起针对美国在该地区的企业，以此报复针对伊朗的袭击行动。,伊朗官方媒体报道：伊朗革命卫队称，将从4月1日起针对美国在该地区的企业，以此报复针对伊朗的袭击行动。,2026-03-31 22:34:25,新浪财经,2026-03-31 22:35:37,True,1,1,021f47b83bb5dc60a9447c2af2f24a9b
4268,纽约期金突破4660美元/盎司，日内涨2.27%。,纽约期金突破4660美元/盎司，日内涨2.27%。,2026-03-31 22:34:23,新浪财经,2026-03-31 22:35:51,True,1,1,93810478c12555c9f34a79d08decd26a
4269,市场消息：伊朗最高领袖目前身在伊朗，并未公开露面。,市场消息：伊朗最高领袖目前身在伊朗，并未公开露面。,2026-03-31 22:34:16,新浪财经,2026-03-31 22:36:01,True,1,1,2e81710e5f3b69b6b5d4a3f6c5cc0c5c
4266,【伊朗说已制定长期计划持续削弱美以】新浪财经3月31日讯，伊朗伊斯兰革命卫队今天（3月31日）发表声明说，伊朗已制定长期计划，以持续削弱以色列及该地区美军实力。...,【伊朗说已制定长期计划持续削弱美以】新浪财经3月31日讯，伊朗伊斯兰革命卫队今天（3月31日）发表声明说，伊朗已制定长期计划，以持续削弱以色列及该地区美军实力。与此同时，美国政府威胁伊朗尽快达成协议，否则将摧毁伊朗关键能源设施。（CCTV国际时讯）,2026-03-31 22:24:57,新浪财经,2026-03-31 22:26:21,True,1,1,baf7ce336ce8791d199c1f80700e5545
4263,【巴菲特警告金融体系脆弱性上升】新浪财经3月31日讯，沃伦·巴菲特警告称，随着银行体系与非银行机构之间的联系日益紧密，他已开始看到金融体系中出现脆弱性的迹象。他...,【巴菲特警告金融体系脆弱性上升】新浪财经3月31日讯，沃伦·巴菲特警告称，随着银行体系与非银行机构之间的联系日益紧密，他已开始看到金融体系中出现脆弱性的迹象。他表示，金融体系的稳定应是美联储的首要任务，并指出摩根大通等银行是经济运转的关键枢纽，每天处理数万亿美元资金流。“它们彼此相互影响，一家出现问题，可能会传导至其他机构，”巴菲特周二在接受CNBC采访时表示。在近期信贷市场一系列爆雷事件引发对银行及私人信贷基金资产负债表风险的担忧后，投资者情绪已受到冲击。巴菲特表示，一旦市场恐慌蔓延，许多投资者可能会迅速撤离。,2026-03-31 22:20:08,新浪财经,2026-03-31 22:21:00,True,1,2,45a2622c9a2be823764d00e53dbf5364
4264,【欧洲理事会主席称中东局势“极其危险” 呼吁为外交努力留出空间】新浪财经3月31日讯，欧洲理事会主席科斯塔3月31日在社交媒体上发文说，当前中东局势“极其危险”...,【欧洲理事会主席称中东局势“极其危险” 呼吁为外交努力留出空间】新浪财经3月31日讯，欧洲理事会主席科斯塔3月31日在社交媒体上发文说，当前中东局势“极其危险”，各方必须推动局势降级，为外交努力留出空间。科斯塔说，他在与伊朗总统佩泽希齐扬通话时呼吁缓和局势、保持克制，保护平民和民用基础设施，并强调各方应全面遵守国际法。他还敦促伊朗积极通过外交途径解决问题，特别是与联合国合作，以确保霍尔木兹海峡航行自由。科斯塔表示，当前必须为外交努力留出空间。欧盟愿为所有旨在缓解紧张局势、结束冲突的外交努力提供支持。（央视新闻）,2026-03-31 22:19:48,新浪财经,2026-03-31 22:21:20,True,0,80,7215f3b11b9caee657b44e9f4325dfe3
4265,现货白银突破74美元/盎司，日内涨5.62%。,现货白银突破74美元/盎司，日内涨5.62%。,2026-03-31 22:19:22,新浪财经,2026-03-31 22:21:32,True,1,1,7a1553c995c94f51f56e5496a0c27ff7
4262,"现货白银日内涨幅达5.5%，报73.96美元/盎司。

纽约银日内涨幅达5.0%，报74.15美元/盎司。","现货白银日内涨幅达5.5%，报73.96美元/盎司。

纽约银日内涨幅达5.0%，报74.15美元/盎司。",2026-03-31 22:15:47,华尔街见闻,2026-03-31 22:16:26,True,1,1,85ec06b13fcacd3af9e8878b4f4c94fa
