id,title,content,news_datetime,source,create_time,relevance,direction,impact,interest_direction,interest_impact,dollar_direction,dollar_impact,warrisk_direction,warrisk_impact,liquidity_direction,liquidity_impact,emotion_direction,emotion_impact,keyword,reference_content,interest,dollar,warrisk,liquidity,emotion,conclusion_short,conclusion_mid,conclusion_long,insight,conclusion,content_hash,Reference,shorttime,midtime,longtime
"1","美国下令非紧急工作人员撤离约旦和伊拉克。（法新社）","美国下令非紧急工作人员撤离约旦和伊拉克。（法新社）","2026-03-03 13:37:26","华尔街见闻","2026-03-03 06:39:25","1","1","3","0","1","-1","2","1","3","0","1","1","3","[""美国"", ""非紧急工作人员"", ""撤离"", ""约旦"", ""伊拉克"", ""法新社""]",,"事件未涉及美货币政策与通胀，不影响美债实际利率，无明显影响","避险情绪小幅支撑美元走强，对黄金偏利空，影响程度低","美国撤离人员推高中东冲突预期，地缘风险上升，利多黄金，影响中等","事件未改变全球资本市场流动性格局，无明显影响，影响程度低","地缘紧张抬升市场避险情绪，提振黄金看涨情绪，利多黄金，影响中等",,,,"关注中东局势进展，可轻仓博弈地缘多头，严格控制风险","该事件推升中东地缘避险预期，短期中等利多黄金，中长期影响有限","0d3a7015d61a36c7bce996905544a83b","[]","短期利多黄金，影响强度中等","中期若局势未升级，影响逐步消退，中性偏震荡","长期不改变黄金核心驱动因素，影响中性"
"2","WTI原油站上73美元/桶，日内涨2.5%。

布伦特原油日内涨3%，报80.11美元/桶。","WTI原油站上73美元/桶，日内涨2.5%。

布伦特原油日内涨3%，报80.11美元/桶。","2026-03-03 13:33:43","华尔街见闻","2026-03-03 06:39:54","1","1","2","1","1","0","1","0","1","0","1","1","2","[""WTI原油"", ""73美元/桶"", ""日内涨2.5%"", ""布伦特原油"", ""80.11美元/桶"", ""日内涨3%""]",,"单日油价上涨带来温和通胀预期，对美债实际利率影响极弱","本次仅为日内油价波动，未影响美元基本面，无明显作用","新闻未提及地缘事件，不改变地缘政治风险水平","日内油价波动不改变全球流动性趋势，影响可忽略","油价日内大涨催生轻度通胀避险情绪，小幅提振黄金多头情绪",,,,"日内油价波动影响有限，无需据此调整黄金投资仓位","本次原油日内上涨仅给黄金带来弱短期利多，中长期无明显影响","46b1c02728c0a88c5ada52edb17c586a","[]","弱利多，影响强度低","中性，无明显影响","中性，无明显影响"
"3","伊朗称将击毁拟穿霍尔木兹海峡船只","据伊朗媒体当地时间3月2日报道，伊朗伊斯兰革命卫队指挥官贾巴里表示，任何试图通过霍尔木兹海峡的船只都会被击毁，并称伊朗不会允许一滴石油从该地区流出。不过，据美国福克斯新闻报道，有美军高级军官称，伊朗方面并未对霍尔木兹海峡进行巡逻，也未实施封锁措施。目前暂无证据表明相关水域存在水雷，不过商船在该区域正谨慎航行。 (CCTV国际时讯)","2026-03-03 13:30:38","华尔街见闻","2026-03-03 06:40:29","1","1","3","0","1","-1","2","1","3","0","1","1","3","[""伊朗伊斯兰革命卫队"", ""贾巴里"", ""霍尔木兹海峡"", ""击毁船只"", ""封锁石油流出"", ""美军"", ""无封锁措施"", ""商船谨慎航行""]",,"事件未影响美债实际利率，无实质影响，影响程度低","避险情绪小幅推升美元，对黄金小幅压制，影响程度低","伊朗放话封锁石油要道，中东地缘风险上升，支撑黄金避险需求，影响程度中","事件未改变全球流动性格局，无实质影响，影响程度低","引发市场对中东局势担忧，推升黄金避险情绪，影响程度中",,,,"短期可轻仓博弈黄金多头，警惕局势反复带来的波动风险","伊朗放话威胁封锁霍尔木兹未实际落地，短期利多黄金，中长期整体中性","cd15944fec8d38509038bee28f0f48af","[]","短期利多黄金，影响强度中等","中期中性，需跟踪局势是否升级","长期中性，不改变黄金原有趋势"
"4","高盛：因卡塔尔液化天然气供应受阻，将2026年4月荷兰TTF天然气价格预测从36 欧元/兆瓦时上调至55欧元/兆瓦时。

将2026年第二季度TTF天然气均价预...","高盛：因卡塔尔液化天然气供应受阻，将2026年4月荷兰TTF天然气价格预测从36 欧元/兆瓦时上调至55欧元/兆瓦时。

将2026年第二季度TTF天然气均价预测从36 欧元/兆瓦时上调至45欧元/兆瓦时。

将2026年4月即期JKM天然气价格预测从11.90美元/百万英热单位上调至20 美元/百万英热单位。","2026-03-03 13:29:47","华尔街见闻","2026-03-03 06:41:02","1","0","1","0","1","0","1","0","1","0","1","1","2","[""高盛"", ""卡塔尔"", ""液化天然气供应受阻"", ""荷兰TTF天然气"", ""价格预测上调"", ""JKM天然气价格"", ""2026年""]",,"事件为远期价格调整，对当前美债实际利率无明显影响","远期预期调整，不对当前美元指数产生实质影响","未提及地缘冲突因素，对地缘政治风险无影响","不改变当前全球资本市场流动性格局","小幅抬升通胀避险情绪，对黄金带来极弱利多",,,,"无需调整黄金仓位，跟踪后续卡塔尔能源供应变化即可","本次为远期天然气价预测上调，对黄金影响极弱，整体中性","38f5ee2b7662a256326ef0838ecce456","[]","短期影响中性，影响强度极弱","中期影响中性，预期未落地无明确方向","长期若供应受阻落地则利多，当前维持中性"
"5","美联储主席提名人凯文·沃什将缓慢推进美联储缩表，沃什不太可能将美联储资产负债表恢复至2008年前水平。（英国金融时报）","美联储主席提名人凯文·沃什将缓慢推进美联储缩表，沃什不太可能将美联储资产负债表恢复至2008年前水平。（英国金融时报）","2026-03-03 13:14:56","华尔街见闻","2026-03-03 06:41:44","1","1","3","1","3","1","3","0","0","1","3","1","2","[""美联储主席提名人"", ""凯文·沃什"", ""缓慢推进缩表"", ""美联储资产负债表"", ""不恢复至2008年前水平""]",,"缩表节奏放缓压低美债实际利率上行预期，利好黄金，影响中等","美联储收紧放缓压制美元走强预期，利好黄金，影响中等","新闻未涉及地缘政治风险事件，无影响","缩表放缓令流动性收紧慢于预期，利好黄金，影响中等","提振宽松政策预期，市场看涨情绪升温，影响偏低",,,,"可轻仓布局多单，密切关注提名后续进展","该消息释放宽松信号，短期中等利多黄金，需关注提名落地情况","7b2998a6b5b2b17a9825aa12337ec97f","[""英国金融时报""]","短期：中等利多黄金价格","中期：若提名落地持续偏利多，影响中等","长期：不改变政策大趋势，影响中性"
"6","韩国首尔综指跌幅扩大至6%，跌至5868.78点。","韩国首尔综指跌幅扩大至6%，跌至5868.78点。","2026-03-03 12:53:35","华尔街见闻","2026-03-03 06:42:12","1","0","2","0","1","0","1","0","1","0","1","1","2","[""韩国首尔综指"", ""跌幅扩大"", ""6%"", ""5868.78点""]",,"该新闻未影响美债实际利率，无明显影响","未对美元指数产生直接影响，影响程度极低","未涉及地缘政治事件，对地缘政治风险无影响","未改变全球资本市场流动性格局，无明显影响","韩国股市大跌小幅提升市场避险情绪，影响程度较低",,,,"事件影响有限，无需因此调整黄金投资布局","该事件仅小幅影响情绪，对黄金整体为中性影响，强度极低","9994dabd89ec4e239f9cbf61c0d91649","[]","短期中性，影响强度极弱","中期中性，无明显影响","长期无明显影响，维持中性"
"7","伊朗称向美“林肯”号航母发射多枚巡航导弹","当地时间3月3日，伊朗伊斯兰革命卫队发言人纳伊尼表示，伊朗海军向美军“林肯”号航母发射了4枚巡航导弹。袭击发生时，该航母位于距离伊朗恰巴哈尔海岸约250至300公里的海域。在导弹射击后，“林肯”号航母已向印度洋东南部方向撤离。（央视新闻）","2026-03-03 15:35:37","华尔街见闻","2026-03-03 07:46:23","1","1","4","1","3","-1","3","1","4","0","1","1","4","[""伊朗伊斯兰革命卫队"", ""美军林肯号航母"", ""巡航导弹"", ""250至300公里海域"", ""航母撤离"", ""美伊地缘冲突""]",,"地缘军事冲突推高美债需求，压低实际利率，利多黄金","避险资金推高美元指数，压制以美元计价的黄金，利空黄金","美伊直接军事对峙升级地缘风险，避险需求推升黄金","局部军事冲突未显著影响全球资本市场流动性，对黄金影响有限","美伊直接军事对峙引发市场避险情绪升温，推升黄金需求",,,,"短期可布局黄金避险，需关注美伊冲突后续升级动向","美伊直接军事对峙引发避险情绪，短期利多黄金，中期依赖冲突演化","4692824bffcfb60283ee0384c41a8510","[""当地时间3月3日，伊朗伊斯兰革命卫队发言人纳伊尼表示，伊朗海军向美军“林肯”号航母发射了4枚巡航导弹。袭击发生时，该航母位于距离伊朗恰巴哈尔海岸约250至300公里的海域。在导弹射击后，“林肯”号航母已向印度洋东南部方向撤离。（央视新闻）""]","短期利多黄金，地缘避险情绪主导，抵消部分美元走强压制","中期视冲突演化而定，未升级则影响消退，升级则持续利多","长期仅当冲突升级至中东大规模冲突时才会产生显著利多"
"8","【外交部：各国合理安全关切都应该得到重视】3月3日，外交部发言人毛宁主持例行记者会。有记者就伊朗战事与俄乌冲突相关联提问。毛宁表示，联合国宪章宗旨和原则都应该得...","【外交部：各国合理安全关切都应该得到重视】3月3日，外交部发言人毛宁主持例行记者会。有记者就伊朗战事与俄乌冲突相关联提问。毛宁表示，联合国宪章宗旨和原则都应该得到遵守，各国合理安全关切都应该得到重视，一切有利于和平解决危机的努力都应该得到支持。（央视新闻）","2026-03-03 15:34:25","新浪财经","2026-03-03 07:46:44","1","-1","3","0","1","0","1","-1","3","0","1","-1","3","[""中国外交部"", ""毛宁"", ""伊朗战事"", ""俄乌冲突"", ""联合国宪章"", ""和平解决危机"", ""合理安全关切""]",,"新闻未涉及美债实际利率相关的货币政策、通胀、经济增长等变量，无直接影响","新闻未涉及美元指数相关的经济、政策因素，无直接影响","外交部表态呼吁和平解决伊朗战事与俄乌冲突相关危机，缓解地区地缘紧张，降低冲突升级风险","新闻未涉及资本市场流动性相关的货币政策、信贷松紧等内容，无直接影响","外交表态降低市场对地缘冲突升级的担忧，避险情绪降温",,,,"短期可观察地缘局势后续实际行动，当前表态仅为口头安抚","本次外交部和平呼吁表态短期利空黄金，中期长期影响中性","ec51097a9811781c006acf9ee7f4fbc7","[""央视新闻3月3日报道外交部发言人毛宁主持例行记者会相关表态""]","短期黄金受避险情绪降温、地缘风险降低影响偏利空","中期影响中性，仅口头表态未带来实质冲突缓和动作","长期影响中性，无持续政策或局势变化支撑"
"9","中方敦促维护霍尔木兹海峡航道安全","3月3日，外交部发言人毛宁主持例行记者会。据彭博社报道，中方正在向伊朗施压，要求伊朗不要封锁霍尔木兹海峡。中方对此有何评论？毛宁指出，能源安全对世界经济非常重要，各方都有责任确保能源供应稳定畅通。中方敦促各方立即停止军事行动，避免紧张事态升级，维护霍尔木兹海峡的航道安全，防止对全球经济造成更大的影响。（北京日报）","2026-03-03 15:34:21","华尔街见闻","2026-03-03 07:47:07","1","-1","3","-1","2","1","2","-1","3","-1","1","-1","3","[""中方敦促"", ""霍尔木兹海峡"", ""航道安全"", ""停止军事行动"", ""避免紧张升级"", ""能源安全"", ""全球经济稳定""]",,"地缘风险缓解降低原油涨价预期，通胀预期下行推高美债实际利率，利空黄金","避险情绪降温导致美元指数走弱，利多黄金","敦促避免冲突升级，降低中东地缘冲突风险，削弱黄金避险需求，利空黄金","风险偏好回升，资金流向风险资产，黄金流动性需求下降，小幅利空黄金","市场避险情绪降温，黄金避险买盘减少，利空黄金",,,,"短期可关注地缘局势进展，当前避险情绪降温下黄金短期承压","该新闻缓解地缘风险，短期利空黄金，中期延续压制，长期中性","a4203f6a2101251a8ce493fc009cea35","[""北京日报"", ""彭博社""]","短期利空黄金，避险需求下降、实际利率上行抵消美元走弱利多","中期利空黄金，地缘风险缓解压制避险需求，全球经济预期改善","长期中性，仅为外交表态，未改变长期地缘格局"
"10","交易员们削减了对英央行加息的押注，现在更倾向于今年降息25个基点。","交易员们削减了对英央行加息的押注，现在更倾向于今年降息25个基点。","2026-03-03 15:34:03","新浪财经","2026-03-03 07:47:44","1","1","2","1","2","-1","1","0","1","1","2","1","2","[""交易员"", ""英央行"", ""削减加息押注"", ""今年降息25个基点"", ""货币政策预期""]",,"英央行降息预期推动全球短端利率下行，美债实际收益率下行，利多黄金，影响中等","英央行降息收窄英镑利差，英镑贬值带动美元指数微升，压制黄金，影响低","新闻未涉及地缘冲突，对地缘政治风险无显著影响","英央行降息预期带动全球宽松预期升温，提升资本市场流动性，利多黄金，影响中等","市场押注降息反映英国经济担忧，避险情绪升温，利多黄金，影响中等",,,,"需结合美联储政策动向，英国政策对黄金短期影响有限，关注美国宏观数据","该新闻多路径小幅利多黄金，短期影响中等，长期影响有限","3318db72419f0235025849d74b4d7b29","[""交易员们削减了对英央行加息的押注，现在更倾向于今年降息25个基点。""]","短期：利多黄金，影响程度中等","中期：若全球宽松预期扩散，或持续利多黄金","长期：英国经济体量有限，对黄金影响中性"
